date,open,high,low,close,volume
2021-04-23 19:57:00,232.2,232.2,232.2,232.2,201.0
2021-04-23 19:51:00,232.03,232.03,232.03,232.03,151.0
2021-04-23 19:32:00,232.1,232.1,232.1,232.1,321.0
2021-04-23 19:30:00,232.1,232.1,232.1,232.1,150.0
2021-04-23 19:21:00,232.2,232.2,232.2,232.2,100.0
2021-04-23 19:04:00,232.05,232.05,232.05,232.05,227.0
2021-04-23 18:55:00,232.2,232.2,232.2,232.2,100.0
2021-04-23 18:51:00,232.2,232.2,232.2,232.2,135.0
2021-04-23 18:45:00,232.05,232.05,232.05,232.05,315.0
2021-04-23 18:36:00,232.19,232.19,232.19,232.19,216.0
2021-04-23 18:27:00,232.1,232.1,232.1,232.1,350.0
2021-04-23 18:23:00,232.1,232.1,232.1,232.1,1410.0
2021-04-23 18:08:00,231.97,231.97,231.97,231.97,312.0
2021-04-23 17:40:00,231.81,231.81,231.81,231.81,176.0
2021-04-23 17:39:00,231.94,231.94,231.94,231.94,340.0
2021-04-23 17:37:00,231.94,231.94,231.94,231.94,209.0
2021-04-23 17:36:00,232.19,232.19,232.19,232.19,229.0
2021-04-23 17:33:00,231.98,231.98,231.98,231.98,129.0
2021-04-23 17:32:00,232.19,232.19,232.19,232.19,174.0
2021-04-23 17:21:00,231.97,232.0,231.97,232.0,1327.0
2021-04-23 17:19:00,231.98,231.98,231.98,231.98,121.0
2021-04-23 17:14:00,231.97,231.97,231.97,231.97,237.0
2021-04-23 17:11:00,231.9,231.95,231.9,231.95,876.0
2021-04-23 17:06:00,231.87,231.87,231.87,231.87,506.0
2021-04-23 17:05:00,231.94,231.94,231.87,231.87,1183.0
2021-04-23 17:02:00,231.87,231.87,231.87,231.87,204.0
2021-04-23 16:37:00,231.85,231.9,231.85,231.9,417.0
2021-04-23 16:34:00,231.75,231.75,231.75,231.75,1110.0
2021-04-23 16:33:00,232.08,232.08,232.08,232.08,1942.0
2021-04-23 16:32:00,231.26,231.26,231.26,231.26,107.0
2021-04-23 16:31:00,231.81,231.82,231.0,231.0,8385.0
2021-04-23 16:28:00,231.91,231.91,231.91,231.91,408.0
2021-04-23 16:27:00,231.92,231.92,231.91,231.91,356.0
2021-04-23 16:26:00,232.08,232.12,232.03,232.03,1926.0
