,date,Open,High,Low,Close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
90,2020-10-22,26.71,26.71,26.71,26.71,26.4011552194,0.0,0.0,1.0
91,2020-10-21,26.72,26.72,26.72,26.72,26.411039590500003,0.0,0.0,1.0
92,2020-10-20,26.74,26.74,26.74,26.74,26.4308083327,0.0,0.0,1.0
93,2020-10-19,26.64,26.64,26.64,26.64,26.3319646217,0.0,0.0,1.0
94,2020-10-16,27.14,27.14,27.14,27.14,26.8261831769,0.0,0.0,1.0
95,2020-10-15,27.25,27.25,27.25,27.25,26.934911259,0.0,0.0,1.0
96,2020-10-14,27.45,27.45,27.45,27.45,27.132598681100003,0.0,0.0,1.0
97,2020-10-13,27.67,27.67,27.67,27.67,27.3500548454,0.0,0.0,1.0
98,2020-10-12,27.68,27.68,27.68,27.68,27.359939216500003,0.0,0.0,1.0
99,2020-10-09,26.85,26.85,26.85,26.85,26.5395364149,0.0,0.0,1.0
100,2020-10-08,26.45,26.45,26.45,26.45,26.144161570700003,0.0,0.0,1.0
101,2020-10-07,26.34,26.34,26.34,26.34,26.035433488600003,0.0,0.0,1.0
102,2020-10-06,25.86,25.86,25.86,25.86,25.5609836756,0.0,0.0,1.0
103,2020-10-05,26.35,26.35,26.35,26.35,26.0453178597,0.0,0.0,1.0
104,2020-10-02,25.78,25.78,25.78,25.78,25.4819087067,0.0,0.0,1.0
105,2020-10-01,26.54,26.54,26.54,26.54,26.2331209106,0.0,0.0,1.0
106,2020-09-30,26.17,26.17,26.17,26.17,25.8673991798,0.0,0.015,1.0
107,2020-09-29,25.95,25.95,25.95,25.95,25.6352495213,0.0,0.0,1.0
108,2020-09-28,26.04,26.04,26.04,26.04,25.724157901199998,0.0,0.0,1.0
109,2020-09-25,25.55,25.55,25.55,25.55,25.2401011665,0.0,0.0,1.0
110,2020-09-24,24.97,24.97,24.97,24.97,24.667136051900002,0.0,0.0,1.0
111,2020-09-23,24.83,24.83,24.83,24.83,24.5288341277,0.0,0.0,1.0
112,2020-09-22,25.63,25.63,25.63,25.63,25.3191308374,0.0,0.0,1.0
113,2020-09-21,25.16,25.16,25.16,25.16,24.854831520500003,0.0,0.0,1.0
114,2020-09-18,25.06,25.06,25.06,25.06,24.7560444318,0.0,0.0,1.0
115,2020-09-17,25.39,25.39,25.39,25.39,25.0820418245,0.0,0.0,1.0
116,2020-09-16,25.78,25.78,25.78,25.78,25.4673114705,0.0,0.0,1.0
117,2020-09-15,26.21,26.21,26.21,26.21,25.892095952,0.0,0.0,1.0
118,2020-09-14,25.85,25.85,25.85,25.85,25.536462432600004,0.0,0.0,1.0
119,2020-09-11,25.41,25.41,25.41,25.41,25.1017992423,0.0,0.0,1.0
120,2020-09-10,25.56,25.56,25.56,25.56,25.249979875300003,0.0,0.0,1.0
121,2020-09-09,26.11,26.11,26.11,26.11,25.7933088633,0.0,0.0,1.0
122,2020-09-08,25.36,25.36,25.36,25.36,25.0524056979,0.0,0.0,1.0
123,2020-09-04,26.64,26.64,26.64,26.64,26.3168804334,0.0,0.0,1.0
124,2020-09-03,26.98,26.98,26.98,26.98,26.652756535100004,0.0,0.0,1.0
125,2020-09-02,28.47,28.47,28.47,28.47,28.1246841569,0.0,0.0,1.0
126,2020-09-01,28.17,28.17,28.17,28.17,27.8283228908,0.0,0.0,1.0
127,2020-08-31,27.78,27.78,27.78,27.78,27.4430532448,0.0,0.0,1.0
128,2020-08-28,27.52,27.52,27.52,27.52,27.1862068141,0.0,0.0,1.0
129,2020-08-27,27.36,27.36,27.36,27.36,27.028147472199997,0.0,0.0,1.0
130,2020-08-26,27.46,27.46,27.46,27.46,27.1269345609,0.0,0.0,1.0
131,2020-08-25,26.89,26.89,26.89,26.89,26.5638481552,0.0,0.0,1.0
132,2020-08-24,26.68,26.68,26.68,26.68,26.3563952689,0.0,0.0,1.0
133,2020-08-21,26.51,26.51,26.51,26.51,26.188457218099998,0.0,0.0,1.0
134,2020-08-20,26.32,26.32,26.32,26.32,26.0007617496,0.0,0.0,1.0
135,2020-08-19,25.96,25.96,25.96,25.96,25.6451282302,0.0,0.0,1.0
136,2020-08-18,26.14,26.14,26.14,26.14,25.822944989899998,0.0,0.0,1.0
137,2020-08-17,25.88,25.88,25.88,25.88,25.5660985592,0.0,0.0,1.0
138,2020-08-14,25.61,25.61,25.61,25.61,25.299373419699997,0.0,0.0,1.0
139,2020-08-13,25.64,25.64,25.64,25.64,25.3290095463,0.0,0.0,1.0
140,2020-08-12,25.59,25.59,25.59,25.59,25.2796160019,0.0,0.0,1.0
141,2020-08-11,24.95,24.95,24.95,24.95,24.647378634200003,0.0,0.0,1.0
142,2020-08-10,25.42,25.42,25.42,25.42,25.111677951100003,0.0,0.0,1.0
143,2020-08-07,25.54,25.54,25.54,25.54,25.230222457600004,0.0,0.0,1.0
144,2020-08-06,25.83,25.83,25.83,25.83,25.516705014899998,0.0,0.0,1.0
145,2020-08-05,25.49,25.49,25.49,25.49,25.180828913200003,0.0,0.0,1.0
146,2020-08-04,25.42,25.42,25.42,25.42,25.111677951100003,0.0,0.0,1.0
147,2020-08-03,25.33,25.33,25.33,25.33,25.0227695713,0.0,0.0,1.0
148,2020-07-31,24.99,24.99,24.99,24.99,24.6868934697,0.0,0.0,1.0
149,2020-07-30,24.56,24.56,24.56,24.56,24.2621089882,0.0,0.0,1.0
150,2020-07-29,24.43,24.43,24.43,24.43,24.133685772899998,0.0,0.0,1.0
151,2020-07-28,24.12,24.12,24.12,24.12,23.827445797800003,0.0,0.0,1.0
152,2020-07-27,24.45,24.45,24.45,24.45,24.1534431906,0.0,0.0,1.0
153,2020-07-24,24.02,24.02,24.02,24.02,23.7286587091,0.0,0.0,1.0
154,2020-07-23,24.24,24.24,24.24,24.24,23.945990304299997,0.0,0.0,1.0
155,2020-07-22,24.9,24.9,24.9,24.9,24.5979850898,0.0,0.0,1.0
156,2020-07-21,24.82,24.82,24.82,24.82,24.5189554188,0.0,0.0,1.0
157,2020-07-20,25.09,25.09,25.09,25.09,24.785680558400003,0.0,0.0,1.0
